a,b,kendall_tau,lower_TD,upper_TD,asymmetry
ALGO,AENO,0.31391675622712617,0.3206412825651302,0.34068136272545096,-0.020040080160320772
ALGO,LSST,0.27424768007069367,0.3006012024048096,0.24048096192384774,0.060120240480961845
ALGO,SRNA,0.3470436501003405,0.42084168336673344,0.3206412825651303,0.10020040080160314
ALGO,ELLT,0.2938764341318143,0.3006012024048096,0.20040080160320645,0.10020040080160314
ALGO,AMRP,0.26348958514669474,0.2605210420841683,0.16032064128256515,0.10020040080160317
ALGO,OTCS,0.23113389793376404,0.24048096192384769,0.24048096192384774,-5.551115123125783e-17
ALGO,HETT,0.29519187431588434,0.34068136272545085,0.2605210420841684,0.08016032064128248
ALGO,HUXZ,0.303115907933187,0.3006012024048096,0.3206412825651303,-0.020040080160320717
ALGO,DUCT,0.3651462090638786,0.280561122244489,0.2605210420841684,0.020040080160320606
ALGO,SMAH,0.30528895490737745,0.280561122244489,0.34068136272545096,-0.060120240480961984
ALGO,NPCK,0.2877441949196912,0.3607214428857715,0.24048096192384774,0.12024048096192377
ALGO,MSDP,0.32773241308718704,0.3206412825651302,0.24048096192384774,0.08016032064128245
ALGO,EORC,0.28179930461657327,0.280561122244489,0.2605210420841684,0.020040080160320606
ALGO,CUBO,0.3577479185287601,0.3006012024048096,0.34068136272545096,-0.04008016032064138
ALGO,HRET,0.23128556367399924,0.24048096192384769,0.2204408817635271,0.020040080160320578
ALGO,ANSO,0.2625040744822056,0.3206412825651302,0.3006012024048097,0.020040080160320495
ALGO,DIHO,0.27763220283128803,0.280561122244489,0.28056112224448904,-5.551115123125783e-17
ALGO,RTTH,0.240782622000732,0.2605210420841683,0.2605210420841684,-5.551115123125783e-17
ALGO,SPLZ,0.3056108877924427,0.3006012024048096,0.2605210420841684,0.04008016032064121
ALGO,NWIG,0.2588179429482085,0.280561122244489,0.24048096192384774,0.04008016032064124
ALGO,MMBT,0.26429080199431776,0.280561122244489,0.24048096192384774,0.04008016032064124
ALGO,MDGI,0.29419836701687957,0.2605210420841683,0.20040080160320645,0.06012024048096187
ALGO,AGVF,0.27732908383946037,0.22044088176352705,0.28056112224448904,-0.060120240480961984
ALGO,RRES,0.3098288878916613,0.3206412825651302,0.3006012024048097,0.020040080160320495
ALGO,CTGI,0.2928301522553522,0.1603206412825651,0.28056112224448904,-0.12024048096192394
ALGO,ALUT,0.20712385667140823,0.24048096192384769,0.2204408817635271,0.020040080160320578
ALGO,ACAC,0.3103754944914084,0.24048096192384769,0.3206412825651303,-0.08016032064128262
ALGO,SRTX,0.31797311057894834,0.3607214428857715,0.3607214428857716,-1.1102230246251565e-16
ALGO,GARI,0.34529467393989727,0.34068136272545085,0.34068136272545096,-1.1102230246251565e-16
ALGO,RCRI,0.3054821146384166,0.280561122244489,0.3206412825651303,-0.04008016032064132
ALGO,ACIX,0.32691402339759723,0.280561122244489,0.34068136272545096,-0.060120240480961984
ALGO,CCNS,0.2203217942824581,0.18036072144288576,0.2204408817635271,-0.04008016032064135
ALGO,MTNS,0.30954546673487066,0.3607214428857715,0.2204408817635271,0.1402805611222444
ALGO,IHOZ,0.3168141521927134,0.280561122244489,0.34068136272545096,-0.060120240480961984
ALGO,NAYO,0.2836550650309926,0.3006012024048096,0.2204408817635271,0.08016032064128248
ALGO,FWWG,0.33780167344754036,0.2605210420841683,0.28056112224448904,-0.020040080160320717
ALGO,EELT,0.2874630781829777,0.280561122244489,0.34068136272545096,-0.060120240480961984
